nombre_embalse	fecha	hora	cota
RAPEL	2022-01-01	12	104,0
ANGOSTURA	2022-01-01	13	316,54
CHAPO	2022-01-01	13	234,6
COLBUN	2022-01-01	13	429,93
INVERNADA	2022-01-01	13	1293,12
LAJA	2022-01-01	13	1319,33
MACHICURA	2022-01-01	13	256,75
MAULE	2022-01-01	13	2161,07
MELADO	2022-01-01	13	642,16
PANGUE	2022-01-01	13	509,58
POLCURA	2022-01-01	13	734,83
RALCO	2022-01-01	13	720,12
RAPEL	2022-01-01	13	104,01
ANGOSTURA	2022-01-01	14	316,53
CHAPO	2022-01-01	14	234,61
COLBUN	2022-01-01	14	429,93
INVERNADA	2022-01-01	14	1293,13
LAJA	2022-01-01	14	1319,33
MACHICURA	2022-01-01	14	256,73
MAULE	2022-01-01	14	2161,07
MELADO	2022-01-01	14	642,26
PANGUE	2022-01-01	14	509,58
POLCURA	2022-01-01	14	734,75
RALCO	2022-01-01	14	720,13
RAPEL	2022-01-01	14	104,01
ANGOSTURA	2022-01-01	15	316,52
CHAPO	2022-01-01	15	234,63
COLBUN	2022-01-01	15	429,92
INVERNADA	2022-01-01	15	1293,13
LAJA	2022-01-01	15	1319,33
MACHICURA	2022-01-01	15	256,71
MAULE	2022-01-01	15	2161,07
MELADO	2022-01-01	15	642,35
PANGUE	2022-01-01	15	509,56
POLCURA	2022-01-01	15	734,67
RALCO	2022-01-01	15	720,13
RAPEL	2022-01-01	15	104,01
ANGOSTURA	2022-01-01	16	316,5
CHAPO	2022-01-01	16	234,65
COLBUN	2022-01-01	16	429,92
INVERNADA	2022-01-01	16	1293,13
LAJA	2022-01-01	16	1319,33
MACHICURA	2022-01-01	16	256,67
MAULE	2022-01-01	16	2161,07
MELADO	2022-01-01	16	642,44
PANGUE	2022-01-01	16	509,56
POLCURA	2022-01-01	16	734,54
RALCO	2022-01-01	16	720,13
RAPEL	2022-01-01	16	104,01
ANGOSTURA	2022-01-01	17	316,49
CHAPO	2022-01-01	17	234,68
COLBUN	2022-01-01	17	429,92
INVERNADA	2022-01-01	17	1293,14
LAJA	2022-01-01	17	1319,33
MACHICURA	2022-01-01	17	256,61
MAULE	2022-01-01	17	2161,07
MELADO	2022-01-01	17	642,53
PANGUE	2022-01-01	17	509,55
POLCURA	2022-01-01	17	734,45
